Path,GET,POST,DELETE,PUT,Summary
``/instances/{id}/attachments/{name}/is-compressed``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1attachments~1{name}~1is-compressed/get>`__,,,,Is attachment compressed?
``/instances/{id}/attachments/{name}/md5``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1attachments~1{name}~1md5/get>`__,,,,Get MD5 of attachment
``/instances/{id}/attachments/{name}/size``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1attachments~1{name}~1size/get>`__,,,,Get size of attachment
``/instances/{id}/attachments/{name}/uncompress``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1attachments~1{name}~1uncompress/post>`__,,,Uncompress attachment
``/instances/{id}/attachments/{name}/verify-md5``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1attachments~1{name}~1verify-md5/post>`__,,,Verify attachment
``/instances/{id}/content/{path}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1content~1{path}/get>`__,,,,Get raw tag
``/instances/{id}/export``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1export/post>`__,,,Write DICOM onto filesystem
``/instances/{id}/file``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1file/get>`__,,,,Download DICOM
``/instances/{id}/frames``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1frames/get>`__,,,,List available frames
``/instances/{id}/frames/{frame}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Other/paths/~1instances~1{id}~1frames~1{frame}/get>`__,,,,List operations
``/instances/{id}/frames/{frame}/image-int16``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1frames~1{frame}~1image-int16/get>`__,,,,Decode a frame (int16)
``/instances/{id}/frames/{frame}/image-uint16``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1frames~1{frame}~1image-uint16/get>`__,,,,Decode a frame (uint16)
``/instances/{id}/frames/{frame}/image-uint8``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1frames~1{frame}~1image-uint8/get>`__,,,,Decode a frame (uint8)
``/instances/{id}/frames/{frame}/matlab``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1frames~1{frame}~1matlab/get>`__,,,,Decode frame for Matlab
``/instances/{id}/frames/{frame}/numpy``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1frames~1{frame}~1numpy/get>`__,,,,Decode frame for numpy
``/instances/{id}/frames/{frame}/preview``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1frames~1{frame}~1preview/get>`__,,,,Decode a frame (preview)
``/instances/{id}/frames/{frame}/raw``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1frames~1{frame}~1raw/get>`__,,,,Access raw frame
``/instances/{id}/frames/{frame}/raw.gz``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1frames~1{frame}~1raw.gz/get>`__,,,,Access raw frame (compressed)
``/instances/{id}/frames/{frame}/rendered``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1frames~1{frame}~1rendered/get>`__,,,,Render a frame
``/instances/{id}/header``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1header/get>`__,,,,Get DICOM meta-header
``/instances/{id}/image-int16``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1image-int16/get>`__,,,,Decode an image (int16)
``/instances/{id}/image-uint16``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1image-uint16/get>`__,,,,Decode an image (uint16)
``/instances/{id}/image-uint8``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1image-uint8/get>`__,,,,Decode an image (uint8)
``/instances/{id}/labels``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1labels/get>`__,,,,List labels
``/instances/{id}/labels/{label}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1labels~1{label}/get>`__,,`DELETE <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1labels~1{label}/delete>`__,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1labels~1{label}/put>`__,Test label
``/instances/{id}/matlab``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1matlab/get>`__,,,,Decode frame for Matlab
``/instances/{id}/metadata``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1metadata/get>`__,,,,List metadata
``/instances/{id}/metadata/{name}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1metadata~1{name}/get>`__,,`DELETE <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1metadata~1{name}/delete>`__,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1metadata~1{name}/put>`__,Get metadata
``/instances/{id}/modify``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1modify/post>`__,,,Modify instance
``/instances/{id}/module``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1module/get>`__,,,,Get instance module
``/instances/{id}/numpy``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1numpy/get>`__,,,,Decode instance for numpy
``/instances/{id}/patient``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1patient/get>`__,,,,Get parent patient
``/instances/{id}/pdf``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1pdf/get>`__,,,,Get embedded PDF
``/instances/{id}/preview``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1preview/get>`__,,,,Decode an image (preview)
``/instances/{id}/reconstruct``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1reconstruct/post>`__,,,Reconstruct tags & optionally files of instance
``/instances/{id}/rendered``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1rendered/get>`__,,,,Render an image
``/instances/{id}/series``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1series/get>`__,,,,Get parent series
``/instances/{id}/simplified-tags``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1simplified-tags/get>`__,,,,Get human-readable tags
``/instances/{id}/statistics``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1statistics/get>`__,,,,Get instance statistics
``/instances/{id}/study``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1study/get>`__,,,,Get parent study
``/instances/{id}/tags``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Instances/paths/~1instances~1{id}~1tags/get>`__,,,,Get DICOM tags
``/jobs``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Jobs/paths/~1jobs/get>`__,,,,List jobs
``/jobs/{id}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Jobs/paths/~1jobs~1{id}/get>`__,,`DELETE <https://orthanc.uclouvain.be/api/index.html#tag/Jobs/paths/~1jobs~1{id}/delete>`__,,Get job
``/jobs/{id}/cancel``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Jobs/paths/~1jobs~1{id}~1cancel/post>`__,,,Cancel job
``/jobs/{id}/pause``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Jobs/paths/~1jobs~1{id}~1pause/post>`__,,,Pause job
``/jobs/{id}/resubmit``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Jobs/paths/~1jobs~1{id}~1resubmit/post>`__,,,Resubmit job
``/jobs/{id}/resume``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Jobs/paths/~1jobs~1{id}~1resume/post>`__,,,Resume job
``/jobs/{id}/{key}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Jobs/paths/~1jobs~1{id}~1{key}/get>`__,,`DELETE <https://orthanc.uclouvain.be/api/index.html#tag/Jobs/paths/~1jobs~1{id}~1{key}/delete>`__,,Get job output
``/modalities``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1modalities/get>`__,,,,List DICOM modalities
``/modalities/{id}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1modalities~1{id}/get>`__,,`DELETE <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1modalities~1{id}/delete>`__,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1modalities~1{id}/put>`__,List operations on modality
``/modalities/{id}/configuration``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1modalities~1{id}~1configuration/get>`__,,,,Get modality configuration
``/modalities/{id}/echo``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1modalities~1{id}~1echo/post>`__,,,Trigger C-ECHO SCU
``/modalities/{id}/find``,,`(post) <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1modalities~1{id}~1find/post>`__,,,*(deprecated)* Hierarchical C-FIND SCU
``/modalities/{id}/find-instance``,,`(post) <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1modalities~1{id}~1find-instance/post>`__,,,*(deprecated)* C-FIND SCU for instances
``/modalities/{id}/find-patient``,,`(post) <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1modalities~1{id}~1find-patient/post>`__,,,*(deprecated)* C-FIND SCU for patients
``/modalities/{id}/find-series``,,`(post) <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1modalities~1{id}~1find-series/post>`__,,,*(deprecated)* C-FIND SCU for series
``/modalities/{id}/find-study``,,`(post) <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1modalities~1{id}~1find-study/post>`__,,,*(deprecated)* C-FIND SCU for studies
``/modalities/{id}/find-worklist``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1modalities~1{id}~1find-worklist/post>`__,,,C-FIND SCU for worklist
``/modalities/{id}/get``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1modalities~1{id}~1get/post>`__,,,Trigger C-GET SCU
``/modalities/{id}/move``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1modalities~1{id}~1move/post>`__,,,Trigger C-MOVE SCU
``/modalities/{id}/query``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1modalities~1{id}~1query/post>`__,,,Trigger C-FIND SCU
``/modalities/{id}/storage-commitment``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1modalities~1{id}~1storage-commitment/post>`__,,,Trigger storage commitment request
``/modalities/{id}/store``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1modalities~1{id}~1store/post>`__,,,Trigger C-STORE SCU
``/modalities/{id}/store-straight``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1modalities~1{id}~1store-straight/post>`__,,,Straight C-STORE SCU
``/patients``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients/get>`__,,,,List the available patients
``/patients/{id}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}/get>`__,,`DELETE <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}/delete>`__,,Get information about some patient
``/patients/{id}/anonymize``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1anonymize/post>`__,,,Anonymize patient
``/patients/{id}/archive``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1archive/get>`__,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1archive/post>`__,,,Create ZIP archive
``/patients/{id}/attachments``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1attachments/get>`__,,,,List attachments
``/patients/{id}/attachments/{name}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Other/paths/~1patients~1{id}~1attachments~1{name}/get>`__,,`DELETE <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1attachments~1{name}/delete>`__,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1attachments~1{name}/put>`__,List operations on attachments
``/patients/{id}/attachments/{name}/compress``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1attachments~1{name}~1compress/post>`__,,,Compress attachment
``/patients/{id}/attachments/{name}/compressed-data``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1attachments~1{name}~1compressed-data/get>`__,,,,Get attachment (no decompression)
``/patients/{id}/attachments/{name}/compressed-md5``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1attachments~1{name}~1compressed-md5/get>`__,,,,Get MD5 of attachment on disk
``/patients/{id}/attachments/{name}/compressed-size``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1attachments~1{name}~1compressed-size/get>`__,,,,Get size of attachment on disk
``/patients/{id}/attachments/{name}/data``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1attachments~1{name}~1data/get>`__,,,,Get attachment
``/patients/{id}/attachments/{name}/info``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1attachments~1{name}~1info/get>`__,,,,Get info about the attachment
``/patients/{id}/attachments/{name}/is-compressed``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1attachments~1{name}~1is-compressed/get>`__,,,,Is attachment compressed?
``/patients/{id}/attachments/{name}/md5``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1attachments~1{name}~1md5/get>`__,,,,Get MD5 of attachment
``/patients/{id}/attachments/{name}/size``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1attachments~1{name}~1size/get>`__,,,,Get size of attachment
``/patients/{id}/attachments/{name}/uncompress``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1attachments~1{name}~1uncompress/post>`__,,,Uncompress attachment
``/patients/{id}/attachments/{name}/verify-md5``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1attachments~1{name}~1verify-md5/post>`__,,,Verify attachment
``/patients/{id}/instances``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1instances/get>`__,,,,Get child instances
``/patients/{id}/instances-tags``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1instances-tags/get>`__,,,,Get tags of instances
``/patients/{id}/labels``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1labels/get>`__,,,,List labels
``/patients/{id}/labels/{label}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1labels~1{label}/get>`__,,`DELETE <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1labels~1{label}/delete>`__,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1labels~1{label}/put>`__,Test label
``/patients/{id}/media``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1media/get>`__,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1media/post>`__,,,Create DICOMDIR media
``/patients/{id}/metadata``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1metadata/get>`__,,,,List metadata
``/patients/{id}/metadata/{name}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1metadata~1{name}/get>`__,,`DELETE <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1metadata~1{name}/delete>`__,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1metadata~1{name}/put>`__,Get metadata
``/patients/{id}/modify``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1modify/post>`__,,,Modify patient
``/patients/{id}/module``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1module/get>`__,,,,Get patient module
``/patients/{id}/protected``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1protected/get>`__,,,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1protected/put>`__,Is the patient protected against recycling?
``/patients/{id}/reconstruct``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1reconstruct/post>`__,,,Reconstruct tags & optionally files of patient
``/patients/{id}/series``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1series/get>`__,,,,Get child series
``/patients/{id}/shared-tags``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1shared-tags/get>`__,,,,Get shared tags
``/patients/{id}/statistics``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1statistics/get>`__,,,,Get patient statistics
``/patients/{id}/studies``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Patients/paths/~1patients~1{id}~1studies/get>`__,,,,Get child studies
``/peers``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1peers/get>`__,,,,List Orthanc peers
``/peers/{id}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1peers~1{id}/get>`__,,`DELETE <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1peers~1{id}/delete>`__,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1peers~1{id}/put>`__,List operations on peer
``/peers/{id}/configuration``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1peers~1{id}~1configuration/get>`__,,,,Get peer configuration
``/peers/{id}/store``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1peers~1{id}~1store/post>`__,,,Send to Orthanc peer
``/peers/{id}/store-straight``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1peers~1{id}~1store-straight/post>`__,,,Straight store to peer
``/peers/{id}/system``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1peers~1{id}~1system/get>`__,,,,Get peer system information
``/plugins``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1plugins/get>`__,,,,List plugins
``/plugins/explorer.js``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1plugins~1explorer.js/get>`__,,,,JavaScript extensions to Orthanc Explorer
``/plugins/{id}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1plugins~1{id}/get>`__,,,,Get plugin
``/queries``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1queries/get>`__,,,,List query/retrieve operations
``/queries/{id}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1queries~1{id}/get>`__,,`DELETE <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1queries~1{id}/delete>`__,,List operations on a query
``/queries/{id}/answers``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1queries~1{id}~1answers/get>`__,,,,List answers to a query
``/queries/{id}/answers/{index}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1queries~1{id}~1answers~1{index}/get>`__,,,,List operations on an answer
``/queries/{id}/answers/{index}/content``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1queries~1{id}~1answers~1{index}~1content/get>`__,,,,Get one answer
``/queries/{id}/answers/{index}/query-instances``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1queries~1{id}~1answers~1{index}~1query-instances/post>`__,,,Query the child instances of an answer
``/queries/{id}/answers/{index}/query-series``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1queries~1{id}~1answers~1{index}~1query-series/post>`__,,,Query the child series of an answer
``/queries/{id}/answers/{index}/query-studies``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1queries~1{id}~1answers~1{index}~1query-studies/post>`__,,,Query the child studies of an answer
``/queries/{id}/answers/{index}/retrieve``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1queries~1{id}~1answers~1{index}~1retrieve/post>`__,,,Retrieve one answer with a C-MOVE or a C-GET SCU
``/queries/{id}/level``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1queries~1{id}~1level/get>`__,,,,Get level of original query
``/queries/{id}/modality``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1queries~1{id}~1modality/get>`__,,,,Get modality of original query
``/queries/{id}/query``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1queries~1{id}~1query/get>`__,,,,Get original query arguments
``/queries/{id}/retrieve``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1queries~1{id}~1retrieve/post>`__,,,Retrieve all answers with C-MOVE SCU
``/series``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series/get>`__,,,,List the available series
``/series/{id}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}/get>`__,,`DELETE <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}/delete>`__,,Get information about some series
``/series/{id}/anonymize``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1anonymize/post>`__,,,Anonymize series
``/series/{id}/archive``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1archive/get>`__,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1archive/post>`__,,,Create ZIP archive
``/series/{id}/attachments``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1attachments/get>`__,,,,List attachments
``/series/{id}/attachments/{name}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Other/paths/~1series~1{id}~1attachments~1{name}/get>`__,,`DELETE <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1attachments~1{name}/delete>`__,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1attachments~1{name}/put>`__,List operations on attachments
``/series/{id}/attachments/{name}/compress``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1attachments~1{name}~1compress/post>`__,,,Compress attachment
``/series/{id}/attachments/{name}/compressed-data``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1attachments~1{name}~1compressed-data/get>`__,,,,Get attachment (no decompression)
``/series/{id}/attachments/{name}/compressed-md5``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1attachments~1{name}~1compressed-md5/get>`__,,,,Get MD5 of attachment on disk
``/series/{id}/attachments/{name}/compressed-size``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1attachments~1{name}~1compressed-size/get>`__,,,,Get size of attachment on disk
